ulasan,sentimen
entah kenapa jadi tertarik,Positif
outfitnya lumayan tapi tetap terlihat menarikk,Positif
menarik sih tapi ga buruk juga menurutku,Netral
awalnya kurang yakin tapi makin menarikk sih,Positif
saya pribadi suka konsepnya sih,Positif
outfitnya cukup bagus haha,Positif
modelnya oke,Netral
menarik sih tapi masih standar wkwk,Netral
menarik sih tapi belum tentu saya pakai,Netral
menarik sih tapi ga buruk juga,Netral
entah kenapa kurang estetik tapi ternyata cocok imo,Positif
warnanya bagus imo,Positif
buat gw pribadi biasa aja tapi makin dilihat makin menarik menurutku,Positif
awalnya suka tapi ternyata kurang menarik,Negatif
stylenya terlalu biasa,Negatif
biasanya saya kurang suka model begini tapi yang ini menarik,Positif
setelah beberapa kali lihat kurang cocok tapi makin menarikk,Positif
gw pribadi suka konsepnya,Positif
jujur biasa aja tapi makin dilihat makin menarikk jujur,Positif
banyak yang bilang kereen tapi jadi biasa aja jujur,Negatif
outfitnya terlihat oke tapi belum tentu saya pakai jujur,Netral
looknya lumayan,Positif
warnanya lumayan tapi lumayan aja,Netral
buat saya pribadi bagus tapi masih standar,Netral
looknya cukup bagus tapi menurut saya kurang menarik menurutku,Negatif
awalnya terlalu biasa tapi makin menarik haha,Positif
outfitnya estetik tapi ga ada yang spesial,Netral
masih biasa aja menurut saya haha,Netral
desainnya oke tapi menurut saya kurang estetik wkwk,Negatif
entah kenapa jadi tertarik wkwk,Positif
entah kenapa biasa aja tapi makin menarik menurutku,Positif
konsepnya terlihat oke tapi ga buruk juga,Netral
ga jelek tapi juga tidak spesial,Netral
looknya menarikk tapi ga ada yang spesial,Netral
kesan pertama kurang estetik tapi ternyata keren imo,Positif
saya masih netral melihatnya jujur,Netral
desainnya estetik tapi tetap terlihat menarik,Positif
awalnya kurang yakin tapi makin dilihat makin menarik jujur,Positif
kombinasi warnanya estetik haha,Netral
entah kenapa terlalu biasa tapi makin menarikk wkwk,Positif
sejujurnya bagus tapi lumayan aja menurutku,Netral
banyak yang bilang keren tapi kurang masuk di saya,Negatif
modelnya bagus wkwk,Positif
makin dilihat makin cocok menurutku,Positif
desainnya lumayan,Netral
outfitnya keren tapi tergantung selera wkwk,Netral
kalau menurut saya biasa aja tapi makin menarikk sih,Positif
awalnya biasa aja tapi jadi suka jujur,Positif
entah kenapa jadi tertarik,Positif
warnanya terlalu biasa,Negatif
modelnya estetik tapi tetap terlihat menarik haha,Positif
konsepnya menarik tapi tetap terlihat menarik,Positif
awalnya suka tapi ternyata kurang menarikk,Negatif
jujur biasa aja tapi jadi suka,Positif
awalnya suka tapi makin membosankan,Negatif
pas pertama lihat biasa aja tapi makin menarikk,Positif
jujur keren tapi kurang masuk di saya wkwk,Negatif
waktu pertama lihat lumayan tapi ga sesuai ekspektasi jujur,Negatif
kombinasi warnanya estetik tapi menurut saya kurang estetik imo,Negatif
bukan style yang biasa gw pakai tapi aku suka,Positif
banyak yang bilang keren tapi kurang masuk di aku,Negatif
konsepnya lumayan bagus tapi masih standar,Netral
awalnya kurang yakin tapi makin dilihat makin menarik jujur,Positif
awalnya biasa aja tapi makin menarik imo,Positif
pas pertama lihat bagus tapi jadi biasa aja haha,Negatif
awalnya suka tapi kurang masuk di saya wkwk,Negatif
masih biasa aja menurut saya haha,Netral
sejujurnya biasa aja tapi jadi suka wkwk,Positif
stylenya estetik tapi tetap terlihat menarikk,Positif
stylenya menarik sih,Netral
pas pertama lihat lumayan tapi masih standar imo,Netral
menarik sih tapi lumayan aja,Netral
entah kenapa terlalu biasa tapi jadi suka sih,Positif
kombinasi warnanya bagus,Positif
banyak yang bilang keren tapi ternyata kurang menarik jujur,Negatif
awalnya suka tapi kurang masuk di gue menurutku,Negatif
looknya membosankan,Negatif
outfitnya lumayan tapi tetap terlihat menarik,Positif
konsepnya kurang menarik imo,Negatif
banyak yang bilang keren tapi terasa monoton jujur,Negatif
menarikk sih tapi ga ada yang spesial jujur,Netral
desainnya kurang menarik menurutku,Negatif
awalnya kurang yakin tapi malah estetik,Positif
kombinasi warnanya agak monoton,Negatif
warnanya kurang estetik imo,Negatif
awalnya suka tapi kurang cocok,Negatif
kesan pertama kurang menarik tapi makin dilihat makin menarik,Positif
sejujurnya kurang estetik tapi jadi pengen coba imo,Positif
menarik sih tapi ga ada yang spesial imo,Netral
gue masih belum suka model seperti ini sih,Negatif
awalnya kurang yakin tapi ternyata bagus juga,Positif
modelnya unik tapi menurut saya agak monoton,Negatif
warnanya cukup baguss tapi ga ada yang spesial menurutku,Netral
jujur biasa aja tapi makin dilihat makin menarik,Positif
saya paham kenapa banyak yang suka tapi kurang cocok buat saya jujur,Negatif
stylenya keren tapi menurut saya membosankan jujur,Negatif
pas pertama lihat keren tapi ternyata kurang menarikk,Negatif
pas pertama lihat bagus tapi ga ada yang spesial,Netral
warnanya kurang menarik jujur,Negatif
kesan pertama kurang menarik tapi ternyata cocok jujur,Positif
kalau menurut saya membosankan tapi ternyata bagus juga sih,Positif
konsepnya keren tapi ga ada yang spesial,Netral
menarik sih tapi tergantung selera,Netral
banyak yang bilang kereen tapi ternyata kurang menarik,Negatif
banyak yang bilang krn tapi terasa monoton,Negatif
awalnya suka tapi ternyata kurang menarik sih,Negatif
awalnya estetik tapi kurang cocok,Negatif
kalau menurut saya cukup bagus tapi ga buruk juga,Netral
kesan pertama membosankan tapi jadi pengen coba,Positif
stylenya terlihat oke tapi ga buruk juga wkwk,Netral
buat aku pribadi bagus tapi masih standar sih,Netral
buat saya pribadi kurang menarik tapi jadi pengen coba menurutku,Positif
kombinasi warnanya lumayan tapi belum tentu gw pakai sih,Netral
warnanya kurang estetik sih,Negatif
ga nyangka ternyata bagus menurutku,Positif
awalnya suka tapi makin membosankan jujur,Negatif
jujur biasa aja tapi jadi pengen coba menurutku,Positif
modelnya terlihat oke tapi ga buruk juga sih,Netral
awalnya biasa aja tapi ternyata krn haha,Positif
warnanya lumayan sih,Netral
awalnya kurang yakin tapi ternyata bagus juga imo,Positif
ga jelek tapi juga gak spesial sih,Netral
desainnya unik tapi tetap terlihat menarik imo,Positif
banyak yang bilang keren tapi makin membosankan,Negatif
menarikk sih tapi ga buruk juga,Netral
entah kenapa bagus tapi kurang masuk di aku wkwk,Negatif
konsepnya cukup bagus tapi belum tentu saya pakai,Netral
awalnya kurang yakin tapi jadi suka jujur,Positif
looknya lumayan tapi tetap terlihat menarik jujur,Positif
konsepnya menarik tapi menurut saya terlalu biasa imo,Negatif
awalnya kurang yakin tapi jadi suka sih,Positif
outfitnya cukup bagus,Netral
stylenya oke haha,Netral
kombinasi warnanya unik wkwk,Netral
masih biasa aja menurut saya menurutku,Netral
kombinasi warnanya menarik,Netral
kesan pertama biasa aja tapi malah estetik imo,Positif
ga nyangka ternyata bgs menurutku,Positif
awalnya suka tapi makin membosankan jujur,Negatif
konsepnya bagus tapi biasa aja menurut gue,Netral
looknya cukup bgs tapi tetap terlihat menarik haha,Positif
konsepnya menarikk tapi masih standar,Netral
belum punya pendapat khusus wkwk,Netral
menarik sih tapi ga buruk juga,Netral
awalnya suka tapi terasa monoton,Negatif
menarikk sih tapi biasa aja menurut saya menurutku,Netral
biasanya gue kurang suka model begini tapi yang ini menarik,Positif
setelah beberapa kali lihat biasa aja tapi ternyata cocok wkwk,Positif
buat aku pribadi kereen tapi jadi biasa aja,Negatif
awalnya suka tapi ternyata kurang menarik,Negatif
kesan pertama biasa aja tapi malah estetik sih,Positif
sejujurnya lumayan tapi jadi biasa aja sih,Negatif
modelnya bagus,Positif
waktu pertama lihat lumayan tapi masih standar,Netral
outfitnya lumayan tapi tetap terlihat menarik,Positif
buat saya pribadi biasa aja tapi ternyata keren,Positif
looknya bagus,Positif
stylenya terlalu biasa jujur,Negatif
konsepnya keren tapi masih standar jujur,Netral
warnanya kurang cocok haha,Negatif
awalnya kurang yakin tapi jadi pengen coba jujur,Positif
pas pertama lihat terlalu biasa tapi ternyata bagus juga sih,Positif
menarik sih tapi ga ada yang spesial,Netral
desainnya krn tapi tetap terlihat menarik jujur,Positif
jujur terlalu biasa tapi makin dilihat makin menarikk sih,Positif
awalnya kurang yakin tapi ternyata bagus juga haha,Positif
modelnya oke tapi belum tentu saya pakai wkwk,Netral
mungkin cocok buat sebagian orang,Netral
banyak yang suka tapi saya kurang tertarik jujur,Negatif
makin dilihat makin cocok wkwk,Positif
banyak yang bilang keren tapi kurang cocok sih,Negatif
banyak yang bilang keren tapi ga sesuai ekspektasi menurutku,Negatif
kesan pertama kurang estetik tapi jadi pengen coba menurutku,Positif
looknya cukup bgs menurutku,Positif
entah kenapa unik tapi belum tentu saya pakai,Netral
outfitnya menarikk sih,Netral
konsepnya agak monoton wkwk,Negatif
looknya cukup bgs tapi tetap terlihat menarik,Positif
saya masih belum suka model seperti ini menurutku,Negatif
desainnya oke menurutku,Netral
buat saya pribadi bagus tapi kurang cocok,Negatif
looknya unik tapi tetap terlihat menarik sih,Positif
awalnya kurang yakin tapi ternyata bagus juga imo,Positif
menarik sih tapi belum tentu saya pakai imo,Netral
desainnya cukup bagus tapi lumayan aja jujur,Netral
konsepnya oke tapi menurut aku terlalu biasa imo,Negatif
warnanya menarik tapi biasa aja menurut saya imo,Netral
awalnya kurang yakin tapi makin menarik jujur,Positif
awalnya suka tapi kurang masuk di saya,Negatif
waktu pertama lihat biasa aja tapi makin menarik menurutku,Positif
awalnya kurang yakin tapi ternyata krn,Positif
looknya lumayan,Netral
konsepnya terlalu biasa sih,Negatif
kombinasi warnanya kereen tapi tetap terlihat menarik sih,Positif
warnanya menarik tapi tergantung selera wkwk,Netral
kalau menurut saya menarik tapi ternyata kurang menarik,Negatif
belum punya pendapat khusus,Netral
awalnya kurang yakin tapi makin dilihat makin menarik menurutku,Positif
sejujurnya biasa aja tapi ternyata baguss juga,Positif
banyak yang bilang kereen tapi makin membosankan imo,Negatif
sejujurnya kurang estetik tapi makin dilihat makin menarik haha,Positif
awalnya kurang yakin tapi ternyata bgs juga sih,Positif
modelnya cukup bagus tapi lumayan aja,Netral
konsepnya oke tapi ga buruk juga jujur,Netral
awalnya kurang yakin tapi ternyata keren imo,Positif
awalnya kurang yakin tapi jadi pengen coba sih,Positif
buat saya pribadi biasa aja tapi malah estetik,Positif
buat aku pribadi unik tapi masih standar,Netral
buat saya pribadi bagus tapi belum tentu saya pakai,Netral
awalnya krn tapi terasa monoton jujur,Negatif
awalnya suka tapi ternyata kurang menarik imo,Negatif
menarik sih tapi biasa aja menurut saya menurutku,Netral
awalnya kurang yakin tapi makin menarikk sih,Positif
warnanya oke tapi menurut saya agak monoton,Negatif
buat saya pribadi oke tapi ga ada yang spesial menurutku,Netral
konsepnya kurang menarikk jujur,Negatif
ga nyangka ternyata bagus,Positif
modelnya estetik sih,Netral
looknya krn jujur,Positif
awalnya kurang yakin tapi ternyata cocok haha,Positif
awalnya kurang yakin tapi makin menarik wkwk,Positif
looknya oke,Netral
awalnya kurang estetik tapi jadi suka sih,Positif
konsepnya terlihat oke tapi belum tentu saya pakai imo,Netral
sulit bilang bagus atau gak wkwk,Netral
kombinasi warnanya estetik haha,Positif
warnanya oke tapi tetap terlihat menarik imo,Positif
entah kenapa biasa aja tapi jadi suka wkwk,Positif
banyak yang bilang keren tapi ternyata kurang menarik sih,Negatif
banyak yang bilang keren tapi ternyata kurang menarik,Negatif
pas pertama lihat agak monoton tapi malah estetik wkwk,Positif
kalau menurut aku lumayan tapi tergantung selera,Netral
banyak yang bilang krn tapi ga sesuai ekspektasi,Negatif
desainnya oke tapi biasa aja menurut saya haha,Netral
warnanya terlihat oke tapi belum tentu saya pakai menurutku,Netral
waktu pertama lihat keren tapi jadi biasa aja haha,Negatif
desainnya oke tapi tetap terlihat menarik jujur,Positif
modelnya menarik,Positif
desainnya baguss imo,Netral
biasanya gw kurang suka model begini tapi yang ini menarik,Positif
bukan style yang biasa saya pakai tapi saya suka sih,Positif
kalau menurut saya menarik tapi ga sesuai ekspektasi imo,Negatif
awalnya kurang yakin tapi jadi pengen coba wkwk,Positif
mungkin cocok buat orang lain tapi bukan gw haha,Negatif
awalnya suka tapi ternyata kurang menarikk,Negatif
stylenya menarik,Positif
awalnya kurang yakin tapi malah estetik,Positif
jujur biasa aja tapi makin dilihat makin menarik menurutku,Positif
kesan pertama bagus tapi biasa aja menurut saya haha,Netral
konsepnya membosankan jujur,Negatif
mungkin cocok buat orang lain tapi bukan saya,Negatif
menarikk sih tapi biasa aja menurut gue sih,Netral
stylenya kurang menarik,Negatif
looknya menarik tapi tergantung selera,Netral
saya paham kenapa banyak yang suka tapi kurang cocok buat saya haha,Negatif
tidak jelek tapi juga ga spesial sih,Netral
warnanya oke tapi biasa aja menurut gue,Netral
banyak yang bilang krn tapi makin membosankan haha,Negatif
awalnya kurang yakin tapi makin dilihat makin menarik menurutku,Positif
konsepnya terlihat oke tapi ga buruk juga imo,Netral
awalnya biasa aja tapi ternyata cocok wkwk,Positif
konsepnya lumayan tapi menurut saya agak monoton menurutku,Negatif
buat saya pribadi lumayan tapi belum tentu saya pakai sih,Netral
desainnya lumayan tapi menurut saya terlalu biasa haha,Negatif
konsepnya estetik tapi menurut saya membosankan,Negatif
banyak yang bilang kereen tapi terasa monoton,Negatif
kombinasi warnanya oke tapi tergantung selera sih,Netral
kesan pertama unik tapi makin membosankan haha,Negatif
warnanya keren tapi belum tentu saya pakai wkwk,Netral
saya paham kenapa banyak yang suka tapi kurang cocok buat saya menurutku,Negatif
sulit bilang bagus atau tidak,Netral
outfitnya keren tapi menurut aku kurang cocok imo,Negatif
looknya kurang estetik,Negatif
pas pertama lihat estetik tapi jadi biasa aja haha,Negatif
pas pertama lihat oke tapi masih standar menurutku,Netral
awalnya kurang yakin tapi jadi pengen coba menurutku,Positif
konsepnya bagus tapi menurut saya kurang menarikk haha,Negatif
konsepnya menarikk tapi menurut gw terlalu biasa,Negatif
modelnya krn tapi menurut saya kurang estetik haha,Negatif
looknya oke tapi tergantung selera,Netral
buat saya pribadi kurang menarik,Negatif
awalnya suka tapi ga sesuai ekspektasi wkwk,Negatif
pas pertama lihat terlalu biasa tapi ternyata cocok,Positif
stylenya bgs menurutku,Positif
mungkin cocok buat orang lain tapi bukan saya jujur,Negatif
awalnya oke tapi kurang cocok wkwk,Negatif
menarik sih tapi ga buruk juga sih,Netral
entah kenapa agak monoton tapi jadi suka,Positif
stylenya oke tapi menurut saya membosankan,Negatif
menarik sih tapi ga buruk juga jujur,Netral
entah kenapa menarik tapi kurang masuk di saya imo,Negatif
banyak yang bilang keren tapi ternyata kurang menarik imo,Negatif
kesan pertama estetik tapi jadi biasa aja wkwk,Negatif
warnanya estetik,Positif
awalnya agak monoton tapi ternyata cocok haha,Positif
awalnya suka tapi makin membosankan,Negatif
makin dilihat makin cocok imo,Positif
looknya agak monoton sih,Negatif
awalnya suka tapi ternyata kurang menarikk wkwk,Negatif
saya paham kenapa banyak yang suka tapi kurang cocok buat gw imo,Negatif
sejujurnya kereen tapi masih standar imo,Netral
kombinasi warnanya lumayan bagus tapi tetap terlihat menarik imo,Positif
pas pertama lihat keren tapi lumayan aja wkwk,Netral
kombinasi warnanya terlihat oke tapi lumayan aja sih,Netral
kalau menurut saya menarik tapi belum tentu saya pakai,Netral
setelah beberapa kali lihat baguss tapi kurang cocok,Negatif
makin dilihat makin cocok,Positif
masih biasa aja menurut saya haha,Netral
desainnya bagus tapi belum tentu saya pakai,Netral
outfitnya lumayan tapi tetap terlihat menarik,Positif
awalnya lumayan tapi tergantung selera jujur,Netral
awalnya suka tapi terasa monoton wkwk,Negatif
modelnya kurang cocok,Negatif
looknya unik tapi tetap terlihat menarik,Positif
menarik sih tapi masih standar haha,Netral
buat saya pribadi biasa aja tapi ternyata baguss juga sih,Positif
waktu pertama lihat agak monoton tapi malah estetik wkwk,Positif
menarik sih tapi belum tentu saya pakai sih,Netral
buat saya pribadi kurang cocok tapi ternyata cocok,Positif
setelah beberapa kali lihat oke tapi jadi biasa aja,Negatif
jujur keren tapi makin membosankan,Negatif
stylenya unik haha,Netral
konsepnya terlihat oke tapi belum tentu saya pakai imo,Netral
modelnya unik sih,Positif
konsepnya oke tapi menurut saya terlalu biasa imo,Negatif
looknya oke tapi menurut saya kurang estetik,Negatif
kombinasi warnanya bagus,Positif
awalnya suka tapi terasa monoton,Negatif
kesan pertama biasa aja tapi ternyata cocok,Positif
masih biasa aja menurut saya,Netral
looknya terlihat oke tapi belum tentu saya pakai haha,Netral
desainnya unik tapi menurut saya kurang estetik menurutku,Negatif
banyak yang bilang keren tapi jadi biasa aja,Negatif
awalnya suka tapi makin membosankan haha,Negatif
saya masih netral melihatnya,Netral
kombinasi warnanya keren tapi menurut saya kurang cocok,Negatif
looknya menarik tapi biasa aja menurut saya,Netral
outfitnya bagus tapi tetap terlihat menarik haha,Positif
warnanya oke tapi menurut saya membosankan wkwk,Negatif
kesan pertama menarikk tapi tergantung selera imo,Netral
modelnya terlalu biasa menurutku,Negatif
saya masih belum suka model seperti ini haha,Negatif
awalnya suka tapi makin membosankan wkwk,Negatif
konsepnya membosankan,Negatif
menarikk sih tapi lumayan aja,Netral
konsepnya agak monoton wkwk,Negatif
sejujurnya unik tapi ga sesuai ekspektasi sih,Negatif
stylenya estetik tapi lumayan aja,Netral
gw paham kenapa banyak yang suka tapi kurang cocok buat saya haha,Negatif
kalau menurut aku terlalu biasa tapi ternyata keren,Positif
pas pertama lihat unik tapi ternyata kurang menarik,Negatif
kalau menurut saya unik tapi kurang cocok wkwk,Negatif
banyak yang suka tapi gue kurang tertarik imo,Negatif
desainnya terlihat oke tapi belum tentu gue pakai,Netral
awalnya kurang yakin tapi jadi suka,Positif
awalnya suka tapi ternyata kurang menarik,Negatif
kesan pertama kurang cocok tapi ternyata keren,Positif
desainnya unik tapi tetap terlihat menarik imo,Positif
pas pertama lihat estetik tapi ternyata kurang menarik sih,Negatif
awalnya suka tapi kurang cocok haha,Negatif
modelnya kurang menarik,Negatif
stylenya kurang cocok sih,Negatif
waktu pertama lihat membosankan tapi makin dilihat makin menarik haha,Positif
masih biasa aja menurut saya,Netral
modelnya estetik,Positif
waktu pertama lihat lumayan bagus tapi ga sesuai ekspektasi,Negatif
awalnya suka tapi jadi biasa aja,Negatif
awalnya biasa aja tapi makin dilihat makin menarik jujur,Positif
buat saya pribadi bagus tapi kurang cocok jujur,Negatif
sejujurnya bagus tapi lumayan aja,Netral
kalau menurut saya biasa aja tapi jadi pengen coba,Positif
menarik sih tapi ga buruk juga wkwk,Netral
mungkin cocok buat sebagian orang haha,Netral
looknya estetik tapi lumayan aja,Netral
stylenya oke tapi ga buruk juga,Netral
awalnya suka tapi terasa monoton imo,Negatif
konsepnya cukup bagus menurutku,Positif
awalnya suka tapi terasa monoton imo,Negatif
kombinasi warnanya keren imo,Positif
jujur bagus tapi ga ada yang spesial,Netral
stylenya lumayan tapi biasa aja menurut saya menurutku,Netral
awalnya kurang yakin tapi makin dilihat makin menarik,Positif
kombinasi warnanya cukup bagus tapi tetap terlihat menarik,Positif
banyak yang suka tapi saya kurang tertarik imo,Negatif
kalau menurut saya membosankan tapi malah estetik sih,Positif
belum punya pendapat khusus,Netral
saya paham kenapa banyak yang suka tapi kurang cocok buat aku sih,Negatif
ga nyangka ternyata bagus sih,Positif
desainnya keren tapi menurut gue agak monoton wkwk,Negatif
desainnya estetik tapi menurut saya kurang menarik sih,Negatif
konsepnya cukup bagus tapi tetap terlihat menarikk sih,Positif
awalnya kurang yakin tapi ternyata cocok,Positif
pas pertama lihat biasa aja tapi makin menarik imo,Positif
kalau menurut saya biasa aja tapi ternyata cocok haha,Positif
awalnya menarik tapi kurang masuk di saya,Negatif
modelnya terlihat oke tapi biasa aja menurut gue sih,Netral
outfitnya menarik menurutku,Positif
waktu pertama lihat terlalu biasa tapi malah estetik sih,Positif
setelah beberapa kali lihat lumayan tapi makin membosankan wkwk,Negatif
banyak yang bilang keren tapi kurang cocok haha,Negatif
warnanya keren imo,Netral
buat saya pribadi estetik tapi jadi biasa aja haha,Negatif
mungkin cocok buat orang lain tapi bukan gw wkwk,Negatif
setelah beberapa kali lihat kurang estetik tapi ternyata cocok,Positif
entah kenapa kurang menarikk tapi jadi suka imo,Positif
setelah beberapa kali lihat kurang cocok tapi malah estetik sih,Positif
kalau menurut saya oke tapi kurang masuk di saya,Negatif
konsepnya menarik tapi tetap terlihat menarik,Positif
looknya kereen tapi tetap terlihat menarik haha,Positif
warnanya terlihat oke tapi belum tentu saya pakai,Netral
modelnya terlalu biasa sih,Negatif
